title,addr1,mapx,mapy,eventstartdate,eventenddate
가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),127.1107693087,37.4960786971,20250509,20250511
가야문화축제,경상남도 김해시 분성로261번길 35 (봉황동),128.8759611362,35.2350661468,20250410,20250413
가파도청보리축제,제주특별자치도 서귀포시 대정읍,126.2717384970,33.1701766897,20250404,20250506
감악산 해맞이 행사,경상남도 거창군 신원면 덕산리,127.9164356976,35.5913086552,20250101,20250101
강릉단오제,강원특별자치도 강릉시 단오장길 1,128.8950169869,37.7482134974,20250527,20250603
강릉커피축제,강원특별자치도 강릉시 창해로14번길 20-1 (견소동),128.9473365175,37.7726644683,20251023,20251026
강서봄빛페스타,서울특별시 강서구 금낭화로 178 (방화동),126.8146355542,37.5810885136,20250412,20250412
강원n 홍천 산나물축제,강원특별자치도 홍천군 홍천읍 태학여내길 27,127.9048299252,37.7079409142,20250503,20250505
강원관광두레 팝업스토어,서울특별시 성동구 뚝섬로13길 36 (성수동2가),127.0580978177,37.5413336048,20250204,20250212
강화 길상 빙어 축제,인천광역시 강화군 길상면 초지리,126.5210719481,37.6362713328,20241225,20250328
강화 양오 빙어축제,인천광역시 강화군 송해면 전망대로423번길 161,126.4438577810,37.8001841894,20241221,20250303
강화도왕방마을얼음축제,인천광역시 강화군 중앙로787번길 8-1 관리소매점,126.4312617608,37.6989596685,20241225,20250303
거제도 국제펭귄수영축제,경상남도 거제시 덕포5길 32,128.7107009190,34.9116687968,20250111,20250111
겨울공주 군밤축제,충청남도 공주시 금벽로 368 (신관동),127.1275545162,36.4702917892,20250116,20250120
겨울엔 양평,경기도 양평군 양평읍 마유산로 11,127.4857713336,37.4967798701,20241201,20250131
경남고성공룡세계엑스포,경상남도 고성군 당항만로 1116,128.3915388600,35.0533471834,20251001,20251109
경복궁 별빛야행,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,20250402,20250517
경복궁 생과방,서울특별시 종로구 사직로 161 (세종로),126.9767375783,37.5760836609,20250416,20250623
경주 대릉원돌담길 축제,경상북도 경주시 황남동,129.2133231098,35.8401959957,20250404,20250406
계양 빛축제,인천광역시 계양구 경명대로 지하1089 (계산동),126.7279723005,37.5433469173,20240923,20250228
고니골빛축제,강원특별자치도 원주시 호저면 호저로 1277-43,127.9154662381,37.4800230785,20241123,20250202
고령대가야축제,경상북도 고령군 대가야로 1216 대가야역사테마관광지,128.2599602256,35.7212529077,20250328,20250330
고싸움놀이축제,광주광역시 남구 고싸움로 2,126.8371305664,35.0696294584,20250207,20250209
고양국제꽃박람회,경기도 고양시 일산동구 호수로 595,126.7686849202,37.6539736577,20250425,20250511
고창 벚꽃축제,전북특별자치도 고창군 고창읍 석정2로 171,126.7398828946,35.4315952113,20250404,20250406
고창청농원 라벤더 축제,전북특별자치도 고창군 공음면 청천길 41-27,126.5351164345,35.3734178114,20250516,20250629
고창청보리밭 축제,전북특별자치도 고창군 공음면 학원농장길 150,126.5432906580,35.3754177213,20250419,20250511
고흥우주항공축제,전라남도 고흥군 봉래면 하반로 490,127.5182610504,34.4540350904,20250503,20250506
곡성세계장미축제,전라남도 곡성군 오곡면 기차마을로 232,127.3080309475,35.2774167990,20250516,20250525
골체오름 벚꽃축제,제주특별자치도 제주시 조천읍 선흘리,126.7043085822,33.4496832240,20250329,20250330
공주 석장리 구석기축제,충청남도 공주시 금벽로 990,127.1875830683,36.4479454091,20250503,20250506
공주 페스티벌,충청남도 공주시 봉황로 75 (반죽동),127.1212611075,36.4528520109,20250503,20251206
관악별빛산책,서울특별시 관악구 신림동 1642-7,126.9276196866,37.4827825101,20241111,20250209
광무대 목요풍류,서울특별시 종로구 종로 272 (종로6가),127.0081070890,37.5708709408,20250403,20251225
광안리 M(Marvelous) 드론 라이트쇼,부산광역시 수영구 광안해변로 219,129.1185505648,35.1538269450,20220402,20251231
광안리어방축제,부산광역시 수영구 광안해변로 219 (광안동),129.1185477876,35.1538130576,20250509,20250511
광양 매화축제,전라남도 광양시 다압면 지막1길 55,127.7164723947,35.0758049399,20250307,20250316
광주 버스킹 월드컵,광주광역시 동구 금남로1가 41 금남지하상가,126.9200351748,35.1478775800,20251015,20251019
광주 추억의 충장축제,광주광역시 동구 금남로1가,126.9191658082,35.1478497900,20251015,20251019
광주국가유산야행,광주광역시 동구 문화전당로 38 (광산동),126.9192936186,35.1460861028,20250425,20250426
광주시 남한산성문화제,경기도 광주시 남한산성면 남한산성로 731,127.1885044553,37.4767712288,20250919,20250921
광주왕실도자페스티벌,경기도 광주시 곤지암읍 경충대로 727,127.3276231368,37.3526075818,20250425,20250506
광주티앤카페쇼,광주광역시 서구 상무누리로 30 (치평동),126.8405588979,35.1467152588,20250529,20250601
