title,addr1,mapx,mapy,eventstartdate,eventenddate,nature,urban,healing,activity,traditional,new,spectating,experience,popular,hidden,quiet,lively
가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),127.1107693,37.4960787,20250509,20250511,0.286212583,0.054863109,0.094421184,0.112175134,0.115611898,0.103649372,0.142854894,0.074710891,0.818830496,0.063930974,0.120215867,1
가야문화축제,경상남도 김해시 분성로261번길 35 (봉황동),128.8759611,35.23506615,20250410,20250413,0.215276009,0.064196347,0.081406421,0.126102143,0.057419996,0.147004241,0.056437342,0.070101575,0.127868321,0.128399698,0.069250602,1
가파도청보리축제,제주특별자치도 서귀포시 대정읍,126.2717385,33.17017669,20250404,20250506,0.270222886,0.086403381,0.141036774,0.065966337,0.138322967,0.117016169,0.142511378,0.091196574,0.066385768,0.112149868,0.145181341,1
감악산 해맞이 행사,경상남도 거창군 신원면 덕산리,127.9164357,35.59130866,20250101,20250101,1,0.07533976,0.064657928,0.067640286,0.103594374,0.062880496,0.149403601,0.135371086,0.109728878,0.072340811,0.122187357,0.397576291
강릉단오제,강원특별자치도 강릉시 단오장길 1,128.895017,37.7482135,20250527,20250603,0.287956168,0.110667545,0.072491818,0.126737575,0.148638045,0.114907623,0.055017593,0.106226714,0.119197549,0.070153231,0.11208208,0.376512523
강릉커피축제,강원특별자치도 강릉시 창해로14번길 20-1 (견소동),128.9473365,37.77266447,20251023,20251026,0.251367777,0.132322312,0.124333119,0.138997766,0.058853951,0.109980918,0.135721303,0.060191182,0.06585135,0.136217904,0.096096692,1
강서봄빛페스타,서울특별시 강서구 금낭화로 178 (방화동),126.8146356,37.58108851,20250412,20250412,0.216149279,0.114897196,0.068013891,0.116169748,0.075884216,0.066308056,0.106030028,0.062894993,0.05483,0.055933609,0.105435839,0.330155486
강원n 홍천 산나물축제,강원특별자치도 홍천군 홍천읍 태학여내길 27,127.9048299,37.70794091,20250503,20250505,1,0.072392928,0.053916177,0.080730173,0.096970387,0.096763789,0.059680313,0.125208403,0.12046675,0.076993755,0.115388636,1
강원관광두레 팝업스토어,서울특별시 성동구 뚝섬로13길 36 (성수동2가),127.0580978,37.5413336,20250204,20250212,0.219834307,0.148045522,0.139074977,0.145591126,0.065429109,0.14918483,0.076450543,0.054240368,0.113977556,0.138734327,0.114497263,0.369292386
강화 길상 빙어 축제,인천광역시 강화군 길상면 초지리,126.5210719,37.63627133,20241225,20250328,0.238110639,0.087033841,0.072326477,0.064292334,0.080802702,0.130152882,0.081196229,0.069897485,0.055573104,0.137739079,0.063103866,1
강화 양오 빙어축제,인천광역시 강화군 송해면 전망대로423번길 161,126.4438578,37.80018419,20241221,20250303,0.218556903,0.058628786,0.12952786,0.105463142,0.129437781,0.122128437,0.087878889,0.081771257,0.07000347,0.093222073,0.09719351,1
강화도왕방마을얼음축제,인천광역시 강화군 중앙로787번길 8-1 관리소매점,126.4312618,37.69895967,20241225,20250303,0.200163205,0.139583088,0.073072987,0.072843286,0.107643758,0.102922271,0.097287435,0.089190315,0.105499459,0.121427167,0.081106036,1
