title,addr1,mapx,mapy,contenttypeid
가거도(소흑산도),전라남도 신안군 흑산면 가거도길 38-2,125.1125145360,34.0740166502,12
가계해수욕장,전라남도 진도군 고군면 신비의바닷길 47,126.3547412438,34.4354594945,12
가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,128.5696552845,35.2077664004,12
가곡유황온천&스파,강원특별자치도 삼척시 가곡면 탕곡리,129.2062296318,37.1507494904,12
가금철교 문화공원,경기도 의정부시 가능동,127.0455151412,37.7533531645,12
가나아트파크,경기도 양주시 장흥면 권율로 117,126.9497496852,37.7254519094,12
가남체육공원,경기도 여주시 가남읍 대명산길 98,127.5349142281,37.2017093544,12
가덕도,부산광역시 강서구 천성동 308-2,128.8169442487,35.0229638330,12
가덕도 등대,부산광역시 강서구 외양포로 10,128.8295937487,35.0006471157,12
가덕도 연대봉,부산광역시 강서구 천성동,128.8216713782,35.0317518247,12
가덕도대항인공동굴,부산광역시 강서구 대항동 393-9,128.8274685924,35.0133095493,12
가덕도외양포전망대,부산광역시 강서구 대항동,128.8310519246,35.0017831264,12
가덕산,경기도 가평군 북면,127.5683098007,37.9202321907,12
가라산,경상남도 거제시 남부면 다대리,128.6303346514,34.7410502933,12
가람리조트,강원특별자치도 홍천군 두촌면 부채들길 29,128.0184630062,37.8364309102,12
가력도항,전북특별자치도 부안군 변산면 새만금로 447-27,126.5314023248,35.7269248004,12
가령폭포,강원특별자치도 홍천군 내촌면 와야리,128.1595225440,37.8326534604,12
가루매마을,경기도 양평군 지평면 옥현리,127.6145192906,37.4519513148,12
가리산(포천),경기도 포천시 이동면 도평리,127.4080179724,38.0450563404,12
가리산(홍천),강원특별자치도 홍천군 두촌면 가리산길 260-9,127.9988086966,37.8543978969,12
가리산자연휴양림,강원특별자치도 홍천군 두촌면 가리산길 426,127.9795073354,37.8656156746,12
가리왕산,강원특별자치도 정선군 정선읍 가리왕산로 707,128.5634777835,37.4618262980,12
가리왕산케이블카,강원특별자치도 정선군 북평면 중봉길 41-35,128.6097538017,37.4742535268,12
가림상회,충청남도 부여군 임천면 성흥로97번길 4-5,126.8928691464,36.1899003585,12
가마골계곡,전라남도 담양군 용면 용소길 261,127.0227046757,35.4451873670,12
가마미해수욕장,전라남도 영광군 홍농읍 가마미로 355,126.4090769892,35.3997293920,12
가마소계곡,전북특별자치도 부안군 상서면 청림리,126.5979680020,35.6412495627,12
가마오름,제주특별자치도 제주시 한경면 청수서5길 63,126.2507039833,33.3059197039,12
가막들공원,경기도 의왕시 양지편로 41-2,126.9956966089,37.3916915204,12
가메창(암메),제주특별자치도 제주시 한경면 청수로 13-3,126.2460707194,33.3209235283,12
가뫼골마을,경상남도 진주시 명석면 관덕길 174,128.0324121006,35.2586565930,12
가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,126.6758204749,33.4019047149,12
가배량성,경상남도 거제시 동부면 가배리,128.5722052958,34.7817585943,12
가사도,전라남도 진도군 조도면 가사도길 106,126.0510003156,34.4789302819,12
가사도 등대,전라남도 진도군 조도면 가사도돌목길,126.0429125538,34.4611877004,12
가사동백숲해변,전라남도 완도군 약산면 해동리,126.9277952875,34.3698373475,12
가사해수욕장,전라남도 완도군 약산면,126.9281702396,34.3704872810,12
가산사,충청북도 옥천군 안내면 안내회남로 671,127.5973920906,36.4015885618,12
가산산성마을,경상북도 칠곡군 가산면 가산로 891,128.5978129850,36.0501079498,12
가산서원,전라남도 장성군 삼서면 영장로 2015,126.6931003984,35.2313226604,12
가산수변공원,경상남도 양산시 동면 가산리 799,129.0178748959,35.2950648080,12
가산수피아,경상북도 칠곡군 가산면 학하들안2길 105,128.4850691574,36.0861545517,12
가새기오름,제주특별자치도 제주시 오라삼동,126.5038611983,33.4893700755,12
가선정,경상남도 거창군 북상면 송계로 731-42,127.8160339922,35.7788772875,12
가섭사,충청북도 음성군 음성읍 가섭길 494,127.7030557496,36.9666339700,12
가섭암지 마애여래삼존입상,경상남도 거창군 위천면 상천리,127.7941371179,35.7345485901,12
가세오름,제주특별자치도 서귀포시 표선면 녹산로 554,126.7231832338,33.3931758821,12
가시리국산화풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,126.7341100468,33.3939370848,12
가시오름,제주특별자치도 서귀포시 대정읍 하모이삼로21번길 1,126.2500169782,33.2236315617,12
가실벚꽃길,경기도 용인시 처인구 포곡읍 가실리,127.1923454131,37.2933147810,12
가실성당,경상북도 칠곡군 왜관읍 가실1길 1,128.4049220662,35.9368172454,12
가야공원,부산광역시 부산진구 엄광로 118,129.0276891748,35.1483453258,12
가야금산조테마공원,전라남도 영암군 영암읍 기찬랜드로 19-10,126.6856118867,34.7919693222,12
가야금신조기념관,전라남도 영암군 영암읍 기찬랜드로 19-10,126.6856118867,34.7919693222,12
가야랜드,경상남도 김해시 인제로 368 (삼방동),128.8993306204,35.2607025891,12
가야산 돌할매 신비의돌,경상북도 성주군 수륜면 성주가야산로 278,128.1448181668,35.8026610502,12
가야산 소리길,경상남도 합천군 가야면 가야산로 1200,128.1322257899,35.7675647985,12
가야산 야생화식물원,경상북도 성주군 수륜면 가야산식물원길 49,128.1418573045,35.8031276100,12
가야산(서산),충청남도 서산시 해미면 산수리,126.6091060355,36.7039864327,12
가야산국립공원(백운동 지구),경상북도 성주군 수륜면 백운리,128.1418101673,35.8001779432,12
"가야산국립공원(홍류동,청량동지구)",경상남도 합천군 가야산로 1200 가야산국립공원관리사무소,128.1322257899,35.7675647985,12
가야산역사신화테마관,경상북도 성주군 수륜면 가야산식물원길 17,128.1418796034,35.8002612681,12
가야의 거리,경상남도 김해시 봉황동,128.8725475322,35.2355465857,12
가야정원,전라남도 순천시 해룡면 농주리,127.5222504674,34.8619089390,12
가야진사,경상남도 양산시 원동면 용당들길 43-62,128.9023718710,35.3675378711,12
가얏고마을,경상북도 고령군 대가야읍 정정골길 55,128.2607262742,35.7414561912,12
가오실공원,경상북도 예천군 개포면 가곡리,128.3508189720,36.6118727137,12
가오치선착장,경상남도 통영시 도산면 도산일주로 542-55,128.3126940017,34.9087814182,12
가왕 송흥록·국창 박초월 생가,전북특별자치도 남원시 운봉읍 비전길 7,127.5626899062,35.4575758647,12
가우도,전라남도 강진군 도암면 월곶로 473,126.7726522891,34.5283725869,12
가우도 모노레일,전라남도 강진군 가우도길 2-87,126.7847455361,34.5339749368,12
가우도 출렁다리,전라남도 강진군 도암면 신기리,126.7717356912,34.5288669609,12
가원습지 생태자연공원,강원특별자치도 동해시 지가동 77-6,129.1070564038,37.4736521046,12
가월리 · 주월리 구석기 유적,경기도 파주시 적성면 달빛길 345,126.9042297694,37.9841931357,12
가을동화 감귤밭,제주특별자치도 서귀포시 서홍동,126.5518123101,33.2556272247,12
가의도,충청남도 태안군 근흥면 가의도길,126.0749440746,36.6730836379,12
가인 김병로 생가터,전북특별자치도 순창군 복흥면 하리길 160,126.9774224423,35.4505693165,12
가장마을,전북특별자치도 남원시 운봉읍 가장길 4,127.5179339854,35.4101221138,12
가정녹색농촌체험마을,전라남도 곡성군 고달면 가정마을길 120,127.3712766775,35.2263181024,12
가제산,충청남도 태안군 이원면 포지리,126.2905250464,36.8646346339,12
가조 백두산천지온천,경상남도 거창군 가조면 온천길 161,128.0229317531,35.6985345364,12
가조도,경상남도 거제시 사등면 가조로 1298,128.5206884618,34.9577018859,12
가조도선착장,경상남도 거제시 사등면 가조로2길 62,128.5261915327,34.9285746891,12
가족문화센터,울산광역시 남구 대공원로 84,129.2905556337,35.5319960593,12
가지산 쇠점골계곡,경상남도 밀양시 산내면 얼음골로 177,128.9819618018,35.5803542935,12
가지산도립공원(밀양),경상남도 밀양시 산내면,128.9804563782,35.5803348234,12
가진항,강원특별자치도 고성군 죽왕면 가진해변길 121-12,128.5133183548,38.3682229327,12
가진해변,강원특별자치도 고성군 죽왕면 가진리 495-6,128.4546324706,38.4428575247,12
가창 찐빵 골목,대구광역시 달성군 가창면 가창로 1099,128.6222232980,35.8027142041,12
가천 다랭이마을,경상남도 남해군 남면 홍현리 남면로 679번길 21,127.8943963083,34.7279803963,12
가탄마을,경상남도 하동군 화개면 탑리,127.6380178715,35.1951401371,12
